sample_id,sample_location,location_group,lat,lon,dist_coast_km,precip_racmo,temp_racmo,ph_mq,ec_uScm,wtpct_c,wtpct_n,cn_ratio,d15n_permil,d13c_vpdb_permil,cl_mgL,na_mgL,so4_mgL,ca_mgL,no3_mgL,po4_mgL
RM3-1,Shackleton Glacier,Shackleton Glacier,-85.4869,-177.20715,103.8047,49.30804062,-36.993385314941406,8.163,4485.3,0.02,0.015,1.371,-1.454,-15.059,69.82,1018.182,3936.84,936.913,26.94,0.5
RM3-8,Shackleton Glacier,Shackleton Glacier,-85.48116666666667,-177.13263333333333,103.1007,49.30804062,-36.993385314941406,7.875,3827.4,0.032,0.017,1.87,3.089,-11.122,107.69,504.45000000000005,5942.8,3978.0,21.06,0.5
SH1-1,Shackleton Glacier,Shackleton Glacier,-85.35655,-175.1108,89.04372,41.60448074,-36.24359893798828,4.658,20285.0,0.107,0.088,1.222,-4.114,-24.237,5.0,4468.043,18890.5,4733.189,483.4,0.5
SH1-6,Shackleton Glacier,Shackleton Glacier,-85.35123333333334,-175.17273333333333,88.42419,41.60448074,-36.24359893798828,5.369,4581.7,0.564,0.097,5.791,-1.116,-24.411,79.14,1213.404,3369.81,854.685,512.02,0.5
SH2-1,Shackleton Glacier,Shackleton Glacier,-85.35905,-175.07873333333333,88.99316,41.60448074,-36.24359893798828,4.479,7882.5,0.635,0.079,8.036,0.36,-24.479,5.0,1059.6,9392.25,2951.0,245.92,0.5
SH3-2,Shackleton Glacier,Shackleton Glacier,-85.3597,-175.0693,88.96482,41.60448074,-36.24359893798828,4.279,23742.7,0.174,0.206,0.844,-3.093,-25.089,5.0,5060.127,18257.99,4981.679,1532.63,0.5
SH3-8,Shackleton Glacier,Shackleton Glacier,-85.35691666666666,-175.1621,89.04797,41.60448074,-36.24359893798828,6.507,13652.0,0.16,0.158,1.01,-3.755,-24.537,40.0,2697.852,8361.96,3336.163,1021.88,0.5
TGV1-1,Shackleton Glacier,Shackleton Glacier,-84.92033333333333,-176.9902,42.86665,87.88758087,-30.54633140563965,7.444,12663.7,0.046,0.095,0.489,12.67,-30.6,2725.08,2447.281,16941.69,5431.12,730.95,0.5
TGV1-8,Shackleton Glacier,Shackleton Glacier,-84.91536666666667,-176.87913333333333,42.06628,87.88758087,-30.54633140563965,7.643,110.9,0.111,0.02,5.48,5.067,-20.795,83.97,16.519,50.0,14.790000000000001,0.5,0.5
TGV2-1,Shackleton Glacier,Shackleton Glacier,-84.91903333333333,-177.06025,42.91922,87.88758087,-30.54633140563965,7.335,777.8,0.273,0.025,10.993,4.854,-27.012,156.21,146.978,50.0,13.459000000000001,16.88,0.5
TGV3-1,Shackleton Glacier,Shackleton Glacier,-84.90956666666666,-177.02173333333334,41.82542,87.88758087,-30.54633140563965,7.887,6886.8,0.025,0.033,0.74,14.112,-28.564,5.0,544.082,7911.63,5176.225,10.65,0.5
TGV3-9,Shackleton Glacier,Shackleton Glacier,-84.91368333333334,-176.88316666666665,41.89858,87.88758087,-30.54633140563965,7.966,593.5,0.163,0.021,7.781,5.06,-24.085,5.0,85.544,50.0,16.65,9.27,0.5
TN1-1,Shackleton Glacier,Shackleton Glacier,-84.92571666666667,-176.06923333333333,41.9754,87.88758087,-30.54633140563965,6.912,24488.1,0.02,0.158,0.128,1.984,-22.459,6066.2,3822.4990000000003,16198.1,6335.223,1710.16,0.5
TN1-8,Shackleton Glacier,Shackleton Glacier,-84.91481666666667,-176.15091666666666,40.85016,87.88758087,-30.54633140563965,7.6,1571.3,0.15,0.019,7.879,0.913,2.109,225.1,229.12400000000002,439.21,57.536,0.5,0.5
TN2-1,Shackleton Glacier,Shackleton Glacier,-84.92381666666667,-176.09876666666668,41.78795,87.88758087,-30.54633140563965,7.526,1333.0,0.062,0.023,2.678,3.976,-17.116,320.77,115.37299999999999,50.0,329.71,17.92,0.5
TN3-1,Shackleton Glacier,Shackleton Glacier,-84.92271666666667,-176.12423333333334,41.68658,87.88758087,-30.54633140563965,7.411,1396.8,0.37,0.031,12.032,3.184,1.704,115.33,257.891,1107.55,150.39999999999998,36.92,9.39
TN3-5,Shackleton Glacier,Shackleton Glacier,-84.9182,-176.12816666666666,41.19933,87.88758087,-30.54633140563965,7.685,838.1,0.608,0.026,23.642,3.316,5.158,133.01,218.073,50.0,81.72200000000001,9.58,0.5
VV-0,Virginia Valley,Virginia Valley,-77.4934,160.85305,62.6087,37.00067139,-31.25746726989746,8.792,38.9,0.034,0.008,4.206,-14.825,-31.918,5.0,9.501999999999999,50.0,9.087,0.5,0.5
VV-B,Virginia Valley,Virginia Valley,-77.4934,160.85305,62.6087,37.00067139,-31.25746726989746,8.038,199.3,,,,,,91.33,41.741,50.0,8.982,5.18,0.5
VV-d,Virginia Valley,Virginia Valley,-77.4934,160.85305,62.6087,37.00067139,-31.25746726989746,8.67,52.5,0.018,0.006,3.168,-8.526,-35.991,112.58,23.808,50.0,8.693,0.5,0.5
VV-J,Virginia Valley,Virginia Valley,-77.4934,160.85305,62.6087,37.00067139,-31.25746726989746,8.328,46.8,0.031,0.008,4.036,-14.04,-32.355,123.61,11.886,50.0,6.367000000000001,0.5,0.5
VV-L,Virginia Valley,Virginia Valley,-77.4934,160.85305,62.6087,37.00067139,-31.25746726989746,7.978,108.3,0.035,0.009,3.964,-12.665,-32.613,103.98,12.01,50.0,12.17,0.5,0.5
WV-BA 1,Wall Valley: Recon,Wall Valley,-77.49556,160.87517,62.54794,37.00067139,-31.25746726989746,7.462,49.4,0.035,0.008,4.599,-9.947,-32.149,110.8,31.969,50.0,9.552000000000001,0.5,0.5
WV-UNN 1,Wall Valley: Recon,Wall Valley,-77.48,160.85,61.38167,37.00067139,-31.25746726989746,7.846,53.0,0.034,0.009,3.825,-8.628,-32.378,304.32,27.616,50.0,2.754,0.5,0.5
WV-UNN 3,Wall Valley: Recon,Wall Valley,-77.48,160.85,61.38167,37.00067139,-31.25746726989746,7.582,75.7,0.035,0.008,4.59,-11.027,-29.712,130.99,103.49,50.0,3.658,0.5,0.5
WV-UNN-2,Wall Valley: Recon,Wall Valley,-77.48,160.85,61.38167,37.00067139,-31.25746726989746,7.672,85.6,0.032,0.008,4.098,-11.06,-31.543,54.84,54.695,50.0,1.855,0.5,0.5
WV-ZS 2,Wall Valley: Recon,Wall Valley,-77.498933,160.849133,63.18016,37.00067139,-31.25746726989746,6.899,746.9,0.014,0.01,1.359,-13.06,-36.251,223.97,189.45,50.0,4.48,45.89,0.5
